Company,Amount,State,Position
FARMERS GROUP INC.,$500,UT,Legislature
FARMERS GROUP INC.,"$3,750",WY,Legislature
FARMERS GROUP INC.,$250,WY,Legislature
FARMERS GROUP INC.,$250,WY,Legislature
FEDEX,"$1,000",IA,Governor
FEDEX,"$1,500",IN,Legislature
FEDEX,"$5,000",MS,Governor
FEDEX,"$61,500",TN,Legislature
FEDEX,"$15,200",TN,Governor
FEDEX,"$5,750",TX,Legislature
FEDEX,"$2,500",TX,Governor
FEDEX,"$9,000",WV,Legislature
FEDEX,"$2,800",WV,Governor
FEDEX,"$3,000",MO,Legislature
FEDEX,"$1,000",MO,Legislature
FEDEX,"$1,000",MO,Legislature
FORD MOTOR COMPANY,"$17,000",KY,Legislature
FORD MOTOR COMPANY,"$40,950",MO,Legislature
FORD MOTOR COMPANY,"$7,500",MO,Governor
FORD MOTOR COMPANY,"$29,250",TX,Legislature
FORD MOTOR COMPANY,"$12,500",TX,Governor
FORD MOTOR COMPANY,"$1,000",UT,Governor
FORD MOTOR COMPANY,"$1,500",MO,Legislature
FORD MOTOR COMPANY,"$5,000",TX,Governor
FORD MOTOR COMPANY,"$2,400",MO,Legislature
GENERAL ELECTRIC CO,"$1,000",IN,Governor
GENERAL ELECTRIC CO,"$2,000",TN,Legislature
GENERAL ELECTRIC CO,"$1,000",TN,Legislature
GENERAL MOTORS,"$6,750",AR,Legislature
GENERAL MOTORS,"$1,250",GA,Legislature
GENERAL MOTORS,"$15,250",IA,Legislature
GENERAL MOTORS,"$1,000",IA,Governor
GENERAL MOTORS,"$60,700",IN,Legislature
GENERAL MOTORS,"$17,500",IN,Governor
GENERAL MOTORS,"$14,500",KS,Legislature
GENERAL MOTORS,$650,KS,Legislature
GENERAL MOTORS,"$16,000",KY,Legislature
GENERAL MOTORS,"$1,000",KY,Legislature
GENERAL MOTORS,"$10,000",MO,Legislature
GENERAL MOTORS,"$7,500",MO,Governor
GENERAL MOTORS,"$12,000",MS,Legislature
GENERAL MOTORS,"$4,500",MS,Governor
GENERAL MOTORS,"$7,500",ND,Governor
GENERAL MOTORS,"$3,500",NE,Governor
GENERAL MOTORS,"$19,750",OK,Legislature
GENERAL MOTORS,"$2,000",OK,Legislature
GENERAL MOTORS,"$1,500",SD,Governor
GENERAL MOTORS,"$31,500",TN,Legislature
GENERAL MOTORS,"$25,000",TX,Legislature
GENERAL MOTORS,"$55,000",TX,Governor
GENERAL MOTORS,"$9,750",UT,Legislature
GENERAL MOTORS,"$4,500",WV,Legislature
GENERAL MOTORS,"$2,500",MO,Governor
GMRI INC,"$10,000",FL,Governor
GoBrands GoPuff,"$3,000",FL,Legislature
GoBrands GoPuff,"$25,000",FL,Governor
GoBrands GoPuff,"$5,000",GA,Governor
GoBrands GoPuff,"$16,000",TN,Legislature
GoBrands GoPuff,"$1,000",TX,Legislature
GoBrands GoPuff,"$2,500",TX,Governor
H&R BLOCK,"$4,000",KS,Legislature
H&R BLOCK,"$1,000",KS,Legislature
HEWLETT PACKARD,"$1,000",TX,Legislature
HEWLETT PACKARD,"$5,000",ID,Governor
HOME DEPOT,"$4,000",FL,Legislature
HOME DEPOT,"$5,000",FL,Governor
HOME DEPOT,"$105,500",GA,Legislature
HOME DEPOT,"$1,000",GA,Legislature
HOME DEPOT,"$50,200",GA,Governor
HOME DEPOT,"$12,000",IA,Legislature
HOME DEPOT,"$5,000",IA,Governor
HOME DEPOT,$710,MT,Governor
HOME DEPOT,"$7,750",OK,Legislature
HOME DEPOT,"$68,000",TX,Legislature
HOME DEPOT,"$7,500",TX,Governor
HOME DEPOT,"$7,400",UT,Legislature
HOME DEPOT,"$2,500",UT,Governor
HOME DEPOT,"$2,500",TX,Governor
HUMANA,"$18,000",FL,Legislature
HUMANA,"$150,229",FL,Governor
HUMANA,"$13,500",GA,Legislature
HUMANA,"$14,000",GA,Governor
HUMANA,"$1,000",IN,Legislature
HUMANA,"$12,250",KY,Legislature
HUMANA,"$3,000",OK,Legislature
HUMANA,"$5,000",TN,Legislature
HUMANA,"$5,650",TN,Governor
HUMANA,"$7,500",TX,Legislature
HUMANA,"$2,000",TX,Legislature
INTUIT,"$2,750",GA,Legislature
INSPIRE BRANDS,"$7,600",GA,Governor
JACK DANIEL DISTILLERY,"$70,250",TN,Legislature
JACK DANIEL DISTILLERY,"$5,000",TN,Governor
JOHNSON & JOHNSON,"$1,000",FL,Legislature
JOHNSON & JOHNSON,"$24,500",TX,Legislature
JOHNSON & JOHNSON,"$2,500",TX,Legislature
JOHNSON & JOHNSON,"$3,500",TX,Legislature
JOHNSON & JOHNSON,"$4,500",TX,Legislature
JOHNSON & JOHNSON,"$6,000",TX,Legislature
JOHNSON & JOHNSON,"$1,000",GA,Legislature
JOHNSON & JOHNSON,"$2,400",MO,Legislature
JOHNSON & JOHNSON,"$1,000",TX,Legislature
JOHNSON & JOHNSON,"$9,000",AR,Legislature
JOHNSON & JOHNSON,"$5,000",FL,Legislature
JOHNSON & JOHNSON,"$10,000",FL,Governor
JOHNSON & JOHNSON,"$13,750",GA,Legislature
JOHNSON & JOHNSON,"$12,500",GA,Governor
JOHNSON & JOHNSON,"$3,550",ID,Legislature
JOHNSON & JOHNSON,"$2,500",ID,Governor
JOHNSON & JOHNSON,"$6,000",IN,Governor
JOHNSON & JOHNSON,"$3,000",KS,Legislature
JOHNSON & JOHNSON,"$3,000",KY,Legislature
JOHNSON & JOHNSON,"$2,000",KY,Legislature
JOHNSON & JOHNSON,"$8,500",MO,Legislature
JOHNSON & JOHNSON,"$5,500",MO,Governor
JOHNSON & JOHNSON,"$5,250",MS,Legislature
JOHNSON & JOHNSON,"$2,000",MS,Governor
JOHNSON & JOHNSON,"$2,750",ND,Legislature
JOHNSON & JOHNSON,"$1,000",ND,Governor
JOHNSON & JOHNSON,"$4,500",OK,Legislature
JOHNSON & JOHNSON,$400,SD,Governor
JOHNSON & JOHNSON,"$2,500",TN,Legislature
JOHNSON & JOHNSON,"$3,500",UT,Legislature
JOHNSON & JOHNSON,"$1,000",UT,Governor
JPMORGAN CHASE AND CO.,"$1,000",FL,Legislature
JPMORGAN CHASE AND CO.,"$42,000",FL,Legislature
JPMORGAN CHASE AND CO.,"$5,000",GA,Legislature
JPMORGAN CHASE AND CO.,"$2,500",GA,Governor
JPMORGAN CHASE AND CO.,"$1,000",ID,Governor
JPMORGAN CHASE AND CO.,"$10,300",IN,Legislature
JPMORGAN CHASE AND CO.,"$7,000",IN,Governor
JPMORGAN CHASE AND CO.,$500,KY,Legislature
JPMORGAN CHASE AND CO.,"$7,500",OK,Legislature
JPMORGAN CHASE AND CO.,"$20,500",TX,Legislature
JPMORGAN CHASE AND CO.,"$10,000",TX,Governor
JPMORGAN CHASE AND CO.,"$2,500",UT,Legislature
JPMORGAN CHASE AND CO.,$500,UT,Governor
JUUL LABS,"$1,500",TX,Legislature
JUUL LABS,"$50,000",FL,Governor
JUUL LABS,"$25,000",GA,Governor
JUUL LABS,"$3,750",ID,Legislature
JUUL LABS,"$10,000",ID,Governor
JUUL LABS,"$3,000",IN,Legislature
JUUL LABS,"$10,000",IN,Governor
JUUL LABS,"$11,000",TX,Legislature
JUUL LABS,"$7,500",TX,Governor
JUUL LABS,"$2,500",TX,Legislature
K12 INC.,"$4,000",FL,Legislature
K12 INC.,"$100,000",FL,Governor
K12 INC.,"$8,500",GA,Governor
K12 INC.,"$2,750",ID,Legislature
K12 INC.,"$2,500",ID,Governor
K12 INC.,"$5,000",IN,Legislature
K12 INC.,"$7,500",IN,Governor
K12 INC.,"$2,000",KS,Legislature
K12 INC.,"$1,000",MS,Governor
K12 INC.,"$1,000",UT,Governor
KROGER,"$5,000",ID,Governor
KROGER,"$2,250",IN,Legislature
KROGER,"$5,000",IN,Governor
KROGER,"$1,500",KS,Legislature
KROGER,"$1,000",WV,Governor
KROGER,"$17,500",IN,Governor
LIBERTY MUTUAL GROUP,"$5,000",FL,Legislature
LIBERTY MUTUAL GROUP,"$1,500",IN,Legislature
LIBERTY MUTUAL GROUP,"$2,500",IN,Governor
LIBERTY MUTUAL GROUP,$500,OK,Legislature
LIBERTY MUTUAL GROUP,"$2,500",OK,Governor
LIBERTY MUTUAL GROUP,"$1,000",TX,Legislature
LIBERTY MUTUAL GROUP,"$2,000",WV,Legislature
LIBERTY MUTUAL GROUP,"$2,000",TX,Legislature
LOWES COMPANIES INC,"$3,000",FL,Legislature
LYFT,"$23,500",GA,Legislature
LYFT,"$3,000",GA,Governor
MAJOR LEAGUE BASEBALL,$500,KS,Legislature
MCDONALDS CORPORATION,"$1,000",AR,Legislature
MCDONALDS CORPORATION,"$7,000",GA,Governor
MEIJER,"$47,500",IN,Legislature
MEIJER,"$12,500",IN,Governor
MICROSOFT,"$2,000",FL,Legislature
MICROSOFT,"$7,600",GA,Governor
MICROSOFT,"$11,000",IA,Legislature
MICROSOFT,"$11,000",KS,Legislature
MICROSOFT,"$6,350",KS,Legislature
MICROSOFT,"$1,500",MO,Governor
MICROSOFT,"$2,000",MS,Governor
MICROSOFT,$710,MT,Governor
MICROSOFT,"$1,000",ND,Governor
MICROSOFT,"$14,000",TX,Legislature
MICROSOFT,$500,UT,Legislature
MICROSOFT,"$2,800",WV,Legislature
"MILLERCOORS, LLC","$2,000",FL,Legislature
"MILLERCOORS, LLC","$2,700",IN,Legislature
"MILLERCOORS, LLC","$10,000",IN,Governor
MOLSON COORS BEVERAGE COMPANY,"$1,000",FL,Legislature
MOLSON COORS BEVERAGE COMPANY,"$2,150",IN,Legislature
MOLSON COORS BEVERAGE COMPANY,"$2,000",IN,Legislature
MOLSON COORS BEVERAGE COMPANY,"$1,500",GA,Legislature
MOLSON COORS BEVERAGE COMPANY,"$1,300",IN,Legislature
MOTOROLA SOLUTIONS,$500,MS,Legislature
MOTOROLA SOLUTIONS,"$1,000",MS,Governor
MOTOROLA SOLUTIONS,"$10,000",AR,Legislature
MOTOROLA SOLUTIONS,"$25,000",FL,Governor
MOTOROLA SOLUTIONS,"$7,600",GA,Governor
MOTOROLA SOLUTIONS,"$2,750",IA,Legislature
MOTOROLA SOLUTIONS,"$1,000",IA,Governor
MOTOROLA SOLUTIONS,"$7,000",IN,Governor
MOTOROLA SOLUTIONS,"$4,000",KY,Legislature
MOTOROLA SOLUTIONS,"$6,000",MS,Legislature
MOTOROLA SOLUTIONS,"$2,000",MS,Governor
MOTOROLA SOLUTIONS,"$5,000",NE,Governor
MOTOROLA SOLUTIONS,"$31,000",OK,Legislature
MOTOROLA SOLUTIONS,"$5,000",TN,Governor
MOTOROLA SOLUTIONS,"$6,500",TX,Legislature
MOTOROLA SOLUTIONS,"$8,500",TX,Governor
MOTOROLA SOLUTIONS,"$5,000",UT,Governor
MOTOROLA SOLUTIONS,"$8,250",WY,Legislature
MOTOROLA SOLUTIONS,"$17,500",WY,Governor
NATIONWIDE MUTUAL INSURANCE COMPANY,"$12,000",FL,Legislature
NATIONWIDE MUTUAL INSURANCE COMPANY,"$4,000",GA,Legislature
NATIONWIDE MUTUAL INSURANCE COMPANY,"$9,500",GA,Governor
NATIONWIDE MUTUAL INSURANCE COMPANY,"$51,250",IA,Legislature
NATIONWIDE MUTUAL INSURANCE COMPANY,"$27,500",IA,Governor
NATIONWIDE MUTUAL INSURANCE COMPANY,"$1,500",IN,Legislature
NATIONWIDE MUTUAL INSURANCE COMPANY,"$2,000",MO,Legislature
NATIONWIDE MUTUAL INSURANCE COMPANY,"$2,600",MO,Governor
NATIONWIDE MUTUAL INSURANCE COMPANY,"$1,000",TN,Governor
NATIONWIDE MUTUAL INSURANCE COMPANY,"$2,000",TX,Legislature
NATIONWIDE MUTUAL INSURANCE COMPANY,"$1,750",WV,Legislature
"NISSAN NORTH AMERICA, INC.","$1,000",MS,Governor
PEPSICO,"$3,000",FL,Legislature
PEPSICO,"$1,000",IN,Governor
PEPSICO,"$16,000",TX,Legislature
PEPSICO,"$4,000",UT,Legislature
PEPSICO,$750,WV,Governor
PFIZER INC,"$10,500",FL,Legislature
PFIZER INC,"$5,000",FL,Governor
PFIZER INC,"$30,750",GA,Legislature
PFIZER INC,"$5,000",GA,Governor
PFIZER INC,"$12,600",IA,Legislature
PFIZER INC,"$5,500",IA,Governor
PFIZER INC,"$2,900",ID,Legislature
PFIZER INC,"$6,500",ID,Governor
PFIZER INC,"$14,000",IN,Legislature
PFIZER INC,"$5,000",IN,Governor
PFIZER INC,"$4,500",KS,Legislature
PFIZER INC,"$1,500",KS,Legislature
PFIZER INC,"$7,500",KY,Legislature
PFIZER INC,"$27,100",MO,Legislature
PFIZER INC,"$5,200",MO,Governor
PFIZER INC,"$29,500",MS,Legislature
PFIZER INC,"$3,000",MS,Governor
PFIZER INC,"$6,000",ND,Legislature
PFIZER INC,"$2,500",ND,Governor
PFIZER INC,"$1,800",NE,Legislature
PFIZER INC,"$3,500",NE,Governor
PFIZER INC,"$11,500",OK,Legislature
PFIZER INC,"$1,250",SD,Legislature
PFIZER INC,"$7,500",SD,Governor
PFIZER INC,"$54,500",TN,Legislature
PFIZER INC,"$5,000",TN,Governor
PFIZER INC,"$60,000",TX,Legislature
PFIZER INC,"$20,000",TX,Governor
PFIZER INC,"$29,750",UT,Legislature
PFIZER INC,"$4,500",UT,Governor
PFIZER INC,"$15,000",WV,Legislature
PFIZER INC,"$1,350",WY,Legislature
PFIZER INC,"$1,750",WY,Governor
"PNC Financial Services Group, Inc.","$1,000",IN,Legislature
PRUDENTIAL,"$2,500",IN,Legislature
PRUDENTIAL,"$1,500",IN,Governor
PRUDENTIAL,$100,SD,Governor
PRUDENTIAL,"$7,500",TX,Legislature
SAZERAC COMPANY,"$14,650",TX,Legislature
SAZERAC COMPANY,"$5,000",TX,Governor
SAZERAC COMPANY,"$1,500",TX,Governor
SMITHFIELD FOODS INC.,"$13,550",IA,Legislature
SMITHFIELD FOODS INC.,"$1,000",IA,Governor
SMITHFIELD FOODS INC.,$500,NE,Legislature
SMITHFIELD FOODS INC.,"$50,000",NE,Governor
SMITHFIELD FOODS INC.,"$8,500",UT,Legislature
SMITHFIELD FOODS INC.,"$5,000",UT,Governor
Southwest Airlines,"$14,500",TN,Legislature
Southwest Airlines,"$11,500",TN,Governor
Southwest Airlines,"$17,500",TX,Legislature
Southwest Airlines,"$7,500",TX,Governor
STATE FARM INSURANCE,"$1,250",WV,Legislature
STATE FARM INSURANCE,"$9,500",TX,Legislature
STATE FARM INSURANCE,"$10,000",TX,Governor
STATE FARM INSURANCE,"$10,000",TX,Governor
STATE FARM INSURANCE,"$1,678",IN,Legislature
STATE FARM INSURANCE,$750,TN,Legislature
STATE FARM INSURANCE,"$1,250",WV,Legislature
STATE FARM INSURANCE,$600,ID,Legislature
STATE FARM INSURANCE,"$12,250",IN,Legislature
STATE FARM INSURANCE,$500,KS,Legislature
STATE FARM INSURANCE,"$7,500",WV,Legislature
STATE FARM INSURANCE,"$78,500",MS,Legislature
STATE FARM INSURANCE,"$20,000",MS,Governor
Surterra Holdings INC,"$22,000",FL,Legislature
Surterra Holdings INC,"$3,000",FL,Governor
Surterra Holdings INC,"$1,000",FL,Legislature
T-MOBILE USA INC,"$2,000",TX,Legislature
T-MOBILE USA INC,"$14,000",FL,Legislature
T-MOBILE USA INC,"$19,450",GA,Legislature
T-MOBILE USA INC,"$5,000",GA,Governor
T-MOBILE USA INC,"$6,900",IN,Legislature
T-MOBILE USA INC,"$17,750",KS,Legislature
T-MOBILE USA INC,"$8,900",KS,Legislature
T-MOBILE USA INC,"$1,000",MO,Legislature
T-MOBILE USA INC,"$3,275",NE,Legislature
T-MOBILE USA INC,"$12,500",TX,Legislature
T-MOBILE USA INC,"$5,000",TX,Governor
T-MOBILE USA INC,"$2,750",UT,Legislature
T-MOBILE USA INC,"$5,000",TX,Legislature
TARGET CORPORATION,"$3,000",FL,Legislature
"TELADOC, INC.","$2,500",AR,Governor
"TELADOC, INC.","$7,500",FL,Legislature
"TELADOC, INC.","$6,500",KS,Legislature
"TELADOC, INC.","$12,000",MS,Legislature
"TELADOC, INC.","$18,000",MS,Governor
"TELADOC, INC.","$21,500",TX,Legislature
"TELADOC, INC.","$1,000",MS,Legislature
"TELADOC, INC.","$1,000",MS,Legislature
"TELADOC, INC.","$1,000",MS,Legislature
"TELADOC, INC.","$1,000",TX,Legislature
"TELADOC, INC.","$1,000",FL,Legislature
TRAVELERS INDEMNITY COMPANY,"$1,000",KY,Legislature
TRAVELERS INDEMNITY COMPANY,"$2,500",TX,Legislature
TRAVELERS INDEMNITY COMPANY,"$5,000",FL,Legislature
TRAVELERS INDEMNITY COMPANY,"$20,500",IN,Legislature
TRAVELERS INDEMNITY COMPANY,"$1,000",IN,Governor
TRAVELERS INDEMNITY COMPANY,"$8,500",KY,Legislature
TRAVELERS INDEMNITY COMPANY,"$2,000",MO,Governor
TRAVELERS INDEMNITY COMPANY,"$78,000",TX,Legislature
TRAVELERS INDEMNITY COMPANY,"$20,000",TX,Governor
TRAVELERS INDEMNITY COMPANY,"$7,000",TN,Legislature
TRAVELERS INDEMNITY COMPANY,"$20,000",TX,Governor
TRAVELERS INDEMNITY COMPANY,"$1,000",GA,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$3,000",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$2,000",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$1,000",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$1,000",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$2,000",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$1,000",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$1,500",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$4,000",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$5,000",TX,Governor
TOYOTA MOTOR NORTH AMERICA INC,"$52,500",TX,Legislature
TOYOTA MOTOR NORTH AMERICA INC,"$15,000",TX,Governor
TYSON FOODS,"$3,500",AR,Legislature
TYSON FOODS,"$5,800",AR,Governor
TYSON FOODS,"$2,000",GA,Legislature
TYSON FOODS,"$5,000",GA,Governor
TYSON FOODS,"$5,000",IA,Governor
TYSON FOODS,"$1,250",KS,Legislature
TYSON FOODS,"$1,000",KS,Legislature
TYSON FOODS,"$1,750",KY,Legislature
TYSON FOODS,"$3,750",MS,Legislature
TYSON FOODS,"$1,500",MS,Governor
TYSON FOODS,"$7,750",NE,Legislature
TYSON FOODS,"$20,000",NE,Governor
TYSON FOODS,"$5,000",OK,Governor
TYSON FOODS,"$7,500",TN,Legislature
TYSON FOODS,"$3,500",TN,Governor
TYSON FOODS,"$2,500",TX,Legislature
TYSON FOODS,"$2,500",TX,Governor
U.S. BANCORP,"$1,250",IA,Legislature
U.S. BANCORP,$500,IA,Governor
UBER TECHNOLOGIES INC.,"$4,178",GA,Legislature
UNITED AIRLINES,"$29,750",TX,Legislature
UNITED AIRLINES,"$10,000",TX,Governor
UPS,"$22,500",TN,Legislature
UPS,"$1,000",FL,Legislature
UPS,"$29,500",GA,Legislature
UPS,"$27,000",GA,Governor
UPS,"$25,000",IN,Legislature
UPS,"$30,000",KY,Legislature
UPS,"$1,600",MO,Governor
UPS,"$125,250",TX,Legislature
UPS,"$110,000",TX,Governor
UPS,"$2,800",WV,Legislature
UNITEDHEALTH GROUP,"$1,300",WV,Legislature
UNITEDHEALTH GROUP,"$2,000",OK,Legislature
UNITEDHEALTH GROUP,"$275,000",FL,Governor
UNITEDHEALTH GROUP,"$62,000",GA,Legislature
UNITEDHEALTH GROUP,"$44,000",GA,Governor
UNITEDHEALTH GROUP,"$24,000",IA,Legislature
UNITEDHEALTH GROUP,"$8,000",IA,Governor
UNITEDHEALTH GROUP,"$8,500",ID,Legislature
UNITEDHEALTH GROUP,"$5,000",ID,Governor
UNITEDHEALTH GROUP,"$13,500",IN,Legislature
UNITEDHEALTH GROUP,"$10,000",IN,Governor
UNITEDHEALTH GROUP,"$16,000",KS,Legislature
UNITEDHEALTH GROUP,"$12,000",KS,Legislature
UNITEDHEALTH GROUP,"$27,000",KY,Legislature
UNITEDHEALTH GROUP,"$2,600",MO,Governor
UNITEDHEALTH GROUP,"$27,750",MS,Legislature
UNITEDHEALTH GROUP,"$3,000",MS,Governor
UNITEDHEALTH GROUP,"$20,000",ND,Governor
UNITEDHEALTH GROUP,"$12,750",NE,Legislature
UNITEDHEALTH GROUP,"$5,000",NE,Governor
UNITEDHEALTH GROUP,"$37,500",OK,Legislature
UNITEDHEALTH GROUP,"$15,000",OK,Governor
UNITEDHEALTH GROUP,"$104,000",TN,Legislature
UNITEDHEALTH GROUP,"$12,300",TN,Governor
UNITEDHEALTH GROUP,"$104,000",TX,Legislature
UNITEDHEALTH GROUP,"$20,000",TX,Governor
UNITEDHEALTH GROUP,"$11,900",UT,Legislature
UNITEDHEALTH GROUP,"$5,000",UT,Governor
UNITEDHEALTH GROUP,"$28,700",WV,Legislature
UNITEDHEALTH GROUP,"$3,800",WV,Governor
UNITEDHEALTH GROUP,"$1,000",TX,Legislature
UNIVERSITY OF HOUSTON,"$75,500",TX,Legislature
UNIVERSITY OF HOUSTON,"$60,000",TX,Governor
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL SCHOOL,"$118,750",TX,Legislature
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL SCHOOL,"$165,000",TX,Governor
UNITEDHEALTH GROUP,"$1,000",MS,Legislature
U.S. BANCORP,"$4,811",ID,Legislature
U.S. BANCORP,$500,IA,Governor
VERIZON,"$2,000",TX,Legislature
VERIZON,"$5,400",GA,Legislature
VERIZON,"$8,000",GA,Governor
VERIZON,"$3,700",IN,Legislature
VERIZON,"$2,000",IN,Governor
VERIZON,"$6,500",KS,Legislature
VERIZON,$500,KS,Legislature
VERIZON,"$1,500",MS,Legislature
VERIZON,"$3,500",TN,Legislature
VERIZON,"$38,500",TX,Legislature
VERIZON,"$35,000",TX,Governor
VERIZON,"$1,500",UT,Legislature
VERIZON,"$1,000",TX,Legislature
VERIZON,"$2,500",TX,Legislature
VERIZON,"$15,000",TX,Governor
VERIZON,"$4,500",TX,Legislature
VERIZON,"$1,000",TX,Legislature
VERIZON,"$2,000",TX,Legislature
VERIZON,"$1,000",TX,Legislature
VERIZON,"$6,000",OK,Governor
VISA,"$14,000",FL,Legislature
VISA,"$7,600",GA,Governor
VISA,"$1,750",KS,Legislature
WAFFLE HOUSE,"$8,940",FL,Governor
WAFFLE HOUSE,"$21,500",GA,Legislature
WAFFLE HOUSE,"$118,740",GA,Governor
WAFFLE HOUSE,"$1,000",TN,Governor
WALMART,"$2,000",TX,Legislature
WALMART,"$1,000",TX,Legislature
WALGREENS,"$22,000",FL,Legislature
WALGREENS,"$50,000",FL,Governor
WALGREENS,"$5,500",GA,Legislature
WALGREENS,"$5,000",GA,Governor
WALGREENS,"$2,800",IA,Legislature
WALGREENS,$500,IA,Governor
WALGREENS,"$4,500",IN,Legislature
WALGREENS,"$10,000",IN,Governor
WALGREENS,"$3,250",KS,Legislature
WALGREENS,"$4,500",MS,Legislature
WALGREENS,"$1,000",MS,Governor
WALGREENS,"$2,000",NE,Legislature
WALGREENS,"$1,000",NE,Governor
WALGREENS,"$1,000",OK,Legislature
WALGREENS,"$16,000",TN,Legislature
WALGREENS,"$1,000",TN,Governor
WALGREENS,"$4,000",TX,Legislature
WALGREENS,"$1,000",TX,Governor
WALGREENS,"$5,400",UT,Legislature
WALGREENS,"$1,000",UT,Governor
WALGREENS,$750,WV,Legislature
WALGREENS,"$1,000",WV,Governor
WALGREENS,$500,UT,Legislature
WALGREENS,"$1,000",FL,Legislature
WALMART,"$46,800",AR,Legislature
WALMART,"$5,800",AR,Governor
WALMART,"$1,000",FL,Legislature
WALMART,"$10,000",GA,Legislature
WALMART,"$11,000",GA,Governor
WALMART,"$30,000",IA,Legislature
WALMART,"$13,000",IA,Governor
WALMART,"$1,000",ID,Governor
WALMART,"$44,950",IN,Legislature
WALMART,"$15,000",IN,Governor
WALMART,"$17,750",KS,Legislature
WALMART,"$15,500",KS,Legislature
WALMART,"$1,500",MO,Governor
WALMART,"$22,000",MS,Legislature
WALMART,"$14,000",MS,Governor
WALMART,"$1,000",NE,Governor
WALMART,"$45,500",OK,Legislature
WALMART,"$10,000",OK,Governor
WALMART,"$12,500",TN,Legislature
WALMART,"$1,000",TN,Governor
WALMART,"$171,000",TX,Legislature
WALMART,"$50,000",TX,Governor
WALMART,"$5,000",UT,Legislature
WALMART,"$2,500",UT,Governor
WALMART,"$8,000",WV,Legislature
WALMART,"$1,500",WV,Governor
WALMART,"$2,000",WY,Governor
WALMART,"$1,000",UT,Legislature
WALMART,"$2,500",TX,Legislature
WALMART,"$40,000",TX,Governor
WALMART,"$1,000",TX,Legislature
WAWA,"$1,000",FL,Legislature
WAWA,"$25,000",FL,Governor
WELLS FARGO AND COMPANY,"$5,000",GA,Legislature
WELLS FARGO AND COMPANY,"$32,400",IA,Legislature
WELLS FARGO AND COMPANY,"$2,500",IA,Governor
WELLS FARGO AND COMPANY,"$1,000",IN,Legislature
WELLS FARGO AND COMPANY,"$7,000",MS,Legislature
WELLS FARGO AND COMPANY,"$64,000",TX,Legislature
WELLS FARGO AND COMPANY,"$35,000",TX,Governor
WELLS FARGO AND COMPANY,$500,UT,Legislature
WELLS FARGO AND COMPANY,"$1,000",UT,Governor
WELLS FARGO AND COMPANY,"$15,000",TX,Governor
YOGURTLAND,"$5,000",FL,Governor
ZILLOW GROUP,"$1,500",GA,Legislature
ZILLOW GROUP,"$5,500",GA,Legislature
ZILLOWGROUP,"$1,000",GA,Legislature
SMILEDIRECTCLUB,"$3,250",GA,Legislature
SMILEDIRECTCLUB,"$1,000",GA,Governor
SMILEDIRECTCLUB,"$1,500",IN,Legislature
SMILEDIRECTCLUB,"$10,000",KS,Legislature
SMILEDIRECTCLUB,"$2,000",KS,Legislature
SMILEDIRECTCLUB,"$2,500",TN,Legislature
SMILEDIRECTCLUB,"$1,000",KS,Legislature
GEICO,"$3,000",GA,Legislature
GEICO,"$2,000",GA,Governor
GEICO,"$3,000",TX,Legislature
HILTON INC,"$1,000",FL,Legislature
WALT DISNEY,"$109,920",FL,Legislature
WALT DISNEY,"$106,809",FL,Governor